last_price,Tick
265.25,1
265.65,2
265.65,3
265.65,4
265.65,5
265.65,6
265.65,7
265.65,8
265.65,9
265.65,10
265.65,10
261.25,11
260,12
260,13
262.5,14
259.6,15
261.9,16
261.9,17
261.9,18
261.9,19
261.9,20
261.9,21
261.9,22
262.75,23
260.8,24
260.95,25
260.95,26
260.95,27
260.95,28
260.95,29
260.95,30
260.95,31
260.95,32
256.5,33
256.2,34
256.2,34
255.8,35
256,36
256,37
256,38
256,39
255,40
253.55,41
253.55,42
256.1,43
256.1,44
255.15,45
255.15,46
255.15,47
255.6,48
255.6,49
255.6,50
254,51
254,52
254,53
254.9,54
259.5,55
261.25,56
261.25,57
261.25,58
261.25,59
260.65,60
260.65,61
260.65,62
261.5,63
261.5,64
261.5,65
263.5,66
263.5,67
263.5,68
263.5,69
263.5,70
263.5,71
263.5,72
262.9,73
262.95,74
263.65,75
263,76
263,77
263,78
263,79
263,80
263,81
263,82
263,83
263,84
259.35,85
259.35,86
259.35,87
259.35,88
259.35,89
260.05,90
260.05,91
260.05,92
260.05,93
260.05,94
251,95
251,96
253.85,97
253.85,98
254.7,99
254,100
254.55,101
254.55,102
255.7,103
255.7,104
255.7,105
256.3,106
256.3,107
257.65,108
257.65,109
257.65,110
257.65,111
255.35,112
255.35,113
255.35,114
255.35,115
255.35,116
255.35,117
255.35,118
255.35,119
255.35,120
256.95,121
257,122
255.1,123
254.95,124
254.95,125
255.95,126
255.95,127
255.95,128
255.95,129
255.95,130
255.95,131
255.95,132
255.95,133
259.8,134
259.8,135
259.8,136
259.8,137
259,138
259,139
259,140
259,141
259,142
260.2,143
260.2,144
260.2,145
260.4,146
